API Name,Linux On Demand cost,RHEL On Demand cost,SLES On Demand cost,Windows On Demand cost,Windows SQL Web On Demand cost,Windows SQL Std On Demand cost,Windows SQL Ent On Demand cost,Linux SQL Web On Demand cost,Linux SQL Std On Demand cost,Linux SQL Ent On Demand cost
r5d.4xlarge,1.384,1.514,1.534,2.12,2.39,4.04,8.12,1.654,3.304,7.384
r5d.8xlarge,2.768,2.898,2.918,4.24,4.781,8.08,16.24,3.309,6.608,14.768
r5d.large,0.173,0.233,0.236,0.265,0.333,0.745,unavailable,0.241,0.653,unavailable
r5d.metal,8.304,8.434,8.454,12.72,14.342,24.24,48.72,9.926,19.824,44.304
r5d.xlarge,0.346,0.406,0.471,0.53,0.598,1.01,2.03,0.414,0.826,1.846
r5dn.12xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r5dn.16xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r5dn.24xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r5dn.2xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r5dn.4xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r5dn.8xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r5dn.large,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r5dn.metal,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r5dn.xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r5n.12xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r5n.16xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r5n.24xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r5n.2xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r5n.4xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r5n.8xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r5n.large,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r5n.metal,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r5n.xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
